"reviewer$gpa","reviewer$academic_major","reviewer$age_range","reviewer$location","reviewer$gender","reviewer$signin_count","reviewer$user_id","review$avg_score","review$score1","review$score2","review$score3","review$score4","review$score5","reviewee$team_id","reviewee$team_size"
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,2,2,2,2,2,2,6387,0
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5.2,7,5,7,6,1,5452,4
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5,5,6,6,6,2,5516,2
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4.8,3,7,6,6,2,5429,2
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,1,1,1,1,1,1,6442,7
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,3,3,4,4,3,1,5095,3
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5.2,5,6,6,6,3,5511,1
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,2.2,2,2,3,2,2,5141,19
"3-3.49","Science","31-35","Iran, Islamic Republic of","Female",69,795,1,1,1,1,1,1,5906,9
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,3.8,4,4,4,5,2,5899,6
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,2.6,2,3,3,2,3,7068,0
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5.2,6,6,5,6,3,5114,5
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5,6,5,6,5,3,5608,2
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,1.2,2,1,1,1,1,6831,7
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,1,1,1,1,1,1,5556,1
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4.2,4,5,5,4,3,6148,4
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4.4,5,5,5,4,3,5103,2
"2.5-3","Engineering","over 50","United States","Male",21,31244,5.6,8,6,4,6,4,5178,6
"2.5-3","Engineering","over 50","United States","Male",21,31244,6,6,7,6,6,5,5081,3
"2.5-3","Engineering","over 50","United States","Male",21,31244,1,1,1,1,1,1,6617,7
"2.5-3","Engineering","over 50","United States","Male",21,31244,5.4,6,5,7,6,3,7068,0
"Does not apply","Other","26-30","United States","Male",213,9811,6.6,8,8,8,5,4,5178,6
"Does not apply","Other","26-30","United States","Male",213,9811,1,1,1,1,1,1,6617,7
